,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Topic of the ontology,UN SDG Number it tackles,"Specific problem title within this UN SDG (e.g.: Hunger, Health access, etc)",Nr of classes,Nr of data properties,Nr of object properties,Nr of individuals (i.e. total instances of all total classes defined),Inference problem demonstrated nr 1,Inference problem demonstrated nr 2,Inference problem demonstrated nr 3,Data source that inspired the ontology,"Application or service (could be based on Machine learning problem) this ontology could be used for. It could be a machine learning problem that will be fed with the data modelled by this ontology.  The task the ontology is expected to do includes: Classification, recommendation, matchmaking, consistency checks, information retrieval, etc.","Amount of extra points to rise to Grade 17, 18,19/20",Is automatic inference clearly showcased with examples?,Final Grade (Max 20 points),Notes,,,,,
"Course options at Polytechnique: Constraint of courses, schedule and pre-requisites",Goal 4,Diversity in Education,6 main classes- Total of 73,2,28,76,Course classification in tracks,Student attendance in course,Course association in timeslot,http://www.enseignement.polytechnique.fr/informatique/3A/,Recommendation,,,18,no SDG? (timetable making),,,,,
"Adverse effects of blood transfusion: causes, symptoms and treatments",Goal 3,Health,,,,,,,,,,,so-so,16,Modelling error,,,,,
"Recommendation of the possible employments for students, based on the personal preferences and qualifications",Goal 4,"Substantially increase the number of youth and adults who have relevant skills, including technical and vocational skills, for employment, decent jobs and entrepreneurship",,,,,,,,,,,yes,17,"No real explanation, why it infers wants to work at?",,,,,
"Maladies/diseases: finding the disease from the symptoms, recommandation of treatments",Goal n°3,"By 2030, reduce by one third premature mortality from 
non-communicable diseases through prevention and treatment

Strengthen the capacity of all countries, in particular developing 
countries, for early warning, risk reduction and management of 
national and global health risks",4 main classes - Total of 346 classes,0,15,190,None,,,"https://fr.wikipedia.org/wiki/Liste_des_maladies
https://fr.wikipedia.org/wiki/G%C3%A9ographie_de_l%27Asie
https://fr.wikipedia.org/wiki/Europe_du_Nord
https://fr.wikipedia.org/wiki/Am%C3%A9rique_du_Sud
https://fr.wikipedia.org/wiki/Portail:Afrique
https://www.ameli.fr/essonne
https://www.doctissimo.fr/
https://fr.wikipedia.org/wiki/Chronologie_des_vaccins
https://www.who.int/","Information retrieval,matchmaking",,no,9,"nonsense, symptom is not a disease, no inference really. Quantity, not quality.",,,,,
"Education : finding a country where a teacher has the ability to teach, according to the requirements of each country",Goal 4,"""By 2030, substantially increase the supply of 
qualified teachers, including through 
international cooperation for teacher training in 
developing countries, especially least developed
 countries and small island developing States""","3 main classes (Knowledge, Country, Level) - Total of 30 classes",0,12,9,transitivity property,inverse property,,,Matchmaking,,,12,not very practical to infer that french C2 requires B1,,,,,
